ID,PRICE
18510,602679.5739741431
18511,1534776.6581327436
18512,983680.9845615164
18513,464218.1657405829
18514,259106.15003473748
18515,484300.79866352305
18516,379182.55722037406
18517,272447.8147793092
18518,464873.2100877452
18519,417826.14395301236
18520,488402.8059232685
18521,898764.231169464
18522,652424.8681648732
18523,737775.4403833981
18524,476596.8166886661
18525,420772.37971852697
18526,1318888.1190860956
18527,690923.9282699964
18528,672052.8626343722
18529,457434.65635415254
18530,422965.8621741372
18531,470863.7194318172
18532,631059.6665472325
18533,670265.1934298121
18534,628107.2838657217
18535,1078150.0360618397
18536,1156278.1779384685
18537,346401.8332765104
18538,367447.374083136
18539,1985999.952058001
18540,415592.9879556934
18541,458681.5104105037
18542,1236080.4085048125
18543,332857.625071446
18544,269535.64624139405
18545,1374222.234732478
18546,994273.3707778892
18547,846867.2415728682
18548,1484019.1852958968
18549,571940.3844182135
18550,535622.1703763185
18551,625314.2059350297
18552,393064.3495654202
18553,437361.9211741895
18554,532437.9574140587
18555,690311.1269299726
18556,413771.60087157675
18557,653239.8633807177
18558,949759.2820909698
18559,791647.2164325559
18560,572117.8780541383
18561,714554.4504163442
18562,554224.6975109089
18563,447873.6044132528
18564,393579.57236555085
18565,589743.2904710845
18566,337294.67280465155
18567,985448.9481153517
18568,511367.86386469536
18569,811662.036354786
18570,469756.8913532164
18571,536853.7208391756
18572,585335.0980159426
18573,496540.63763604924
18574,798957.8507330699
18575,356597.8066946937
18576,889007.0697649921
18577,397906.2126512376
18578,324568.981057285
18579,1437585.5753589931
18580,579302.6475035315
18581,396381.5251733813
18582,763802.4309802329
18583,361089.67334978253
18584,574177.2773993264
18585,713310.1613016553
18586,473737.12058993493
18587,362428.5625781436
18588,548034.2922732092
18589,417889.6851497478
18590,589323.6258864701
18591,648727.2428795376
18592,627134.8166903884
18593,526555.471223616
18594,911263.4970705531
18595,1010510.7929346728
18596,273385.53206884663
18597,334049.64998595574
18598,564828.0403630853
18599,1026028.7411401212
18600,483607.78696032206
18601,277989.1657100889
18602,448385.5535882778
18603,484632.3153068096
18604,1604082.602042082
18605,781108.5949955297
18606,516002.09672187746
18607,1966166.007262768
18608,306118.26799769135
18609,1064722.5592584817
18610,531331.9101177807
18611,1582456.64913242
18612,445397.74101067765
